date,spread_10y_2y_ma3,spread_10y_3m_ma3,cpi_yoy_pct_ma3,indpro_yoy_pct_ma3,unrate_chg_3m_ma3,UNRATE,recession_next_6m
2001-09-30,1.341491089189299,1.7385823894775303,2.678376859083668,-3.9817323120015473,0.4333333333333333,5.0,1
2001-10-31,1.555921103619313,1.980660311555452,2.480435937467443,-4.20406251433291,0.6000000000000002,5.3,1
2001-11-30,1.7742834224598931,2.384500891265597,2.204733251839859,-4.678524579086333,0.6,5.5,1
2001-12-31,1.8968030303030303,2.827196969696969,1.8752331260311277,-4.753397506963755,0.6666666666666666,5.7,0
2002-01-31,1.9523730158730164,3.154484126984127,1.5646465252782935,-4.500769546789699,0.5666666666666668,5.7,0
2002-02-28,1.9614782790309107,3.291063074352548,1.31197630992151,-3.8324563648528205,0.43333333333333357,5.7,0
2002-03-31,1.876811612364244,3.321563074352548,1.2317084729315617,-2.953361075265356,0.20000000000000018,5.7,0
2002-04-30,1.803665869218501,3.3598819776714515,1.3810721920967766,-2.160932564439777,0.13333333333333344,5.9,0
2002-05-31,1.805045454545455,3.443,1.4158958944331606,-1.2920372629102763,0.09999999999999994,5.8,0
2002-06-30,1.874045454545455,3.3548333333333336,1.3180144852859967,-0.27257016654930916,0.13333333333333316,5.8,0
2002-07-31,1.9767727272727276,3.179378787878788,1.2585556522726409,0.6754399880314863,0.03333333333333292,5.8,0
2002-08-31,2.0511666666666666,2.9146818181818177,1.4274318576947824,1.3340306919969978,-0.03333333333333351,5.7,0
2002-09-30,2.0285,2.5868484848484847,1.5763600120778813,1.742415198958062,-0.09999999999999994,5.7,0
2002-10-31,2.0060757575757577,2.383969696969697,1.7634975441985032,1.9673634323941982,-0.09999999999999964,5.7,0
2002-11-30,2.0066180223285492,2.4451977671451357,1.9321834665722823,2.5903702058205247,2.9605947323337506e-16,5.9,0
2002-12-31,2.116848181058707,2.6486739576213263,2.253606242919799,2.8351468872633663,0.13333333333333344,6.0,0
2003-01-31,2.208897243107769,2.824878863826232,2.497082696300593,3.1210130203865614,0.19999999999999987,5.8,0
2003-02-28,2.258721804511278,2.799440267335004,2.794598125957185,3.0444158502035745,0.13333333333333316,5.9,0
2003-03-31,2.27110275689223,2.744360902255639,2.976244628977786,2.8079322163452587,0.0,5.9,0
2003-04-30,2.281420217209691,2.726583124477861,2.782134329257623,2.140489962252945,0.03333333333333351,6.0,0
2003-05-31,2.241111111111111,2.647777777777778,2.364828663289945,1.292226303585679,0.09999999999999994,6.1,0
2003-06-30,2.199047619047619,2.5617460317460314,2.0060169871718356,0.5489546244693039,0.26666666666666633,6.3,0
2003-07-31,2.254105339105339,2.64468253968254,1.9661603430207133,0.35501794590698443,0.26666666666666633,6.2,0
2003-08-31,2.396486291486291,2.976428571428571,2.0734656977431,0.2691236995793805,0.19999999999999987,6.1,0
2003-09-30,2.5501370851370857,3.2834126984126986,2.216646873873595,0.602323850531883,0.0,6.1,0
2003-10-31,2.5639249639249635,3.381291486291486,2.21210922364059,0.8653135493040477,-0.13333333333333344,6.0,0
2003-11-30,2.494718614718615,3.3384872534872536,2.1162119481915664,1.20124528527605,-0.2333333333333334,5.8,0
2003-12-31,2.42550505050505,3.34986531986532,2.0018402602853143,1.5490650840453426,-0.2999999999999998,5.7,0
2004-01-31,2.374429292929293,3.3169865319865317,1.9966217140151412,1.5491937029983565,-0.33333333333333304,5.7,0
2004-02-29,2.364721690590111,3.2475518341307814,1.9166478818131376,1.6756456935038282,-0.2999999999999998,5.6,0
2004-03-31,2.327468726163234,3.0875057208237986,1.8182720844726639,1.556374859815061,-0.13333333333333344,5.8,0
2004-04-30,2.289857615052123,3.134013657331735,1.9070352355286566,2.0026296466299427,-0.06666666666666703,5.6,0
2004-05-31,2.2357874396135267,3.3128557625948933,2.3101369618113776,2.5420273876073636,-2.9605947323337506e-16,5.6,0
2004-06-30,2.143047619047619,3.5037460317460316,2.786000899373123,2.8155792104482047,-0.10000000000000024,5.6,0
2004-07-31,2.004000000000001,3.4207301587301586,3.001667224523537,2.8388232988929154,-0.09999999999999994,5.5,0
2004-08-31,1.867727272727273,3.1214574314574315,2.884889603311931,2.703446404219774,-0.16666666666666638,5.4,0
2004-09-30,1.7443939393939394,2.7876479076479073,2.6753896287359686,2.7040372325760953,-0.16666666666666607,5.4,0
2004-10-31,1.628719336219336,2.5083225108225107,2.759169166371444,2.8743349079269636,-0.13333333333333286,5.5,0
